query,status,matched_name,feature_type,kommune,east,north,dist_km,uncertainty_m,n_in_area,n_observations
Lordalen,ok,Lordalen,Dal,Lesja,474445.23,6884302.14,0.0,3000.0,1,31
Lesja,ambiguous,Lesja stasjon,Stasjon,Lesja,492375.7,6887394.28,18.2,1500.0,3,18
Skjåk,ok,Skjåk,Gard,Skjåk,466880.64,6860446.04,25.03,400.0,1,18
Aursjoen,ok,Aursjoen,Innsjø,Skjåk,461909.78,6867419.67,21.03,800.0,1,17
Tundradalen,needs_review,Svadalen,Dal,Lesja,476708.48,6892281.02,8.29,3000.0,3,17
Finndalen,ambiguous,Finndalen,Dal,"Lom,Vågå",489015.88,6865472.71,23.81,3000.0,2,16
Raudalen,needs_review,Raudbekken,Bekk,Lesja,493725.84,6892075.64,20.79,1500.0,12,13
Tverrfjellet,ambiguous,Tverrfjellet,Fjell,Lesja,475328.03,6890293.91,6.06,1200.0,2,11
Buanose,needs_review,Nose,Fjell,Lesja,497003.82,6888737.39,22.99,1200.0,2,10
Mårådalen,needs_review,Valådalen,Dal,Lesja,471544.96,6892022.62,8.25,3000.0,9,10
Råkåvatnet,ok,Råkåvatnet,Vann,Lom,476825.56,6869225.81,15.26,800.0,1,10
Asbjørnsdalen,ok,Asbjørnsdalen,Dal,Lesja,456030.4,6898455.26,23.23,3000.0,1,6
Grøndalen,ambiguous,Grøndalen,Dal,Lesja,480006.51,6890988.03,8.7,3000.0,2,6
Horrungen,ok,Horrungen,Fjell,Skjåk,470344.85,6867308.59,17.48,1200.0,1,6
Lundadalen,needs_review,Lordalen,Dal,Lesja,474445.23,6884302.14,0.0,3000.0,21,6
Grjotådalen,fuzzy,Grøndalen,Dal,Lesja,480006.51,6890988.03,8.7,3000.0,8,5
Heggebottfly,ambiguous,Indre Heggebottflyi,Hei,Skjåk,453195.84,6873339.69,23.91,2500.0,2,5
Heggebottflye,fuzzy,Indre Heggebottflyi,Hei,Skjåk,453195.84,6873339.69,23.91,2500.0,4,5
Skjåkgrunn,needs_review,Skjåk,Gard,Skjåk,466880.64,6860446.04,25.03,400.0,1,5
Sveinbu,ambiguous,Sveinbui,Fritidsbolig,Skjåk,454855.78,6874412.5,21.94,1500.0,2,5
Gjelåflaten,needs_review,Viflaten,Slette,Lesja,479836.76,6893761.82,10.89,1500.0,6,4
Huguvarden,needs_review,Varden,Varde,Lesja,484485.3,6892934.19,13.24,1200.0,2,4
Kollongen,fuzzy,Kollen,Topp,Lesja,491981.83,6894974.6,20.53,1200.0,5,4
Lom,ambiguous,Lom stavkyrkje,Kirke,Lom,477152.62,6856410.19,28.02,1500.0,2,4
Skjellflye,needs_review,Skjellbekken,Bekk,Lesja,484159.6,6885176.37,9.75,1500.0,2,4
Sotflye,needs_review,Flye,Hei,Lesja,469765.34,6895151.37,11.82,2500.0,3,4
Glittervatnet,needs_review,Storvatnet,Vann,"Skjåk,Lesja",448149.49,6890066.11,26.92,800.0,2,3
Leirungsvatnet,ok,Leirungsvatnet,Vann,Skjåk,473479.58,6871213.82,13.12,800.0,1,3
Liafjellet,needs_review,Tverrfjellet,Fjell,Lesja,475328.03,6890293.91,6.06,1200.0,16,3
Storhøa,ok,Storhøa,Fjell,"Rauma,Skjåk",447075.93,6894355.94,29.16,1200.0,1,3
Aukarsvatnet,ok,Aukarsvatnet,Vann,Skjåk,461168.24,6870621.58,19.06,800.0,1,2
Billingen,fuzzy,Fillinge,Elv,Lesja,491628.84,6894155.4,19.81,1500.0,2,2
Finndalsområdet,fuzzy,Finndalshorungen,Fjell,Lom,473622.89,6867260.91,17.06,1200.0,5,2
Framrusthovden,not_found,,,,,,,,0,2
Føysa,needs_review,Føystjønne,Tjern,Skjåk,445757.58,6877747.61,29.43,800.0,1,2
Føysfjellet,needs_review,Tverrfjellet,Fjell,Lesja,475328.03,6890293.91,6.06,1200.0,17,2
Kollongshaugane,not_found,,,,,,,,0,2
Kvennåa,needs_review,Kvennbekken,Bekk,Lesja,474685.97,6896864.9,12.57,1500.0,10,2
Mårådalsbenken,not_found,,,,,,,,0,2
Raubergsløyftet,needs_review,Søre Løyftet,Skar,Lesja,460163.71,6883415.66,14.31,1500.0,2,2
Råkåkampen,needs_review,Kampen,Topp,Lesja,468762.81,6896434.6,13.4,1200.0,4,2
Skarvedalen,ok,Skarvedalen,Dal,"Lesja,Skjåk",454214.97,6880396.91,20.6,3000.0,1,2
Skjellom,needs_review,Skjellbekken,Bekk,Lesja,484159.6,6885176.37,9.75,1500.0,6,2
Skridulaupen,needs_review,Skriduhøi,Fjell,Skjåk,461180.75,6869873.64,19.6,1200.0,7,2
Skurveosen,ok,Skurveosen,Slette,Lesja,451442.8,6892958.8,24.58,1500.0,1,2
Skåpet,fuzzy,Skåre,Skar,Skjåk,462827.11,6862326.85,24.86,1500.0,1,2
Stamåtjern,fuzzy,Stamåtjønnin,Gruppe av vann,Skjåk,449605.24,6873878.77,26.94,800.0,1,2
Storskaret,fuzzy,Storskardet,Skar,"Lesja,Skjåk",474131.0,6874062.9,10.24,1500.0,1,2
Storvatnet,ok,Storvatnet,Vann,"Skjåk,Lesja",448149.49,6890066.11,26.92,800.0,1,2
Styggehøe,needs_review,Styggeværskvila,Annen terrengdetalj,Skjåk,468821.8,6870330.46,15.06,1500.0,4,2
Trihø,ok,Trihøin,Fjell,Lesja,472495.81,6876168.62,8.36,1200.0,1,2
Tundradalsbotn,needs_review,Tundradalsvegen,Adressenavn,Skjåk,452634.49,6864908.98,29.19,1500.0,1,2
Åfottjønnen,fuzzy,Åflotjønne,Tjern,Skjåk,457373.72,6872196.93,20.93,800.0,2,2
Breidalseggje,needs_review,Skarvedalseggen,Fjell,Skjåk,451952.97,6879902.08,22.92,1200.0,2,1
Brettinga,fuzzy,Brettingstungan,Fjellside,Lom,483824.0,6869645.89,17.4,1200.0,5,1
