landmark,method,n_reports,sample_phrase,assumed_lat,assumed_lon,real_lat,real_lon,note
Lordalen,offset,14,nord for Lordalen,62.1169,8.5102,62.108515,8.350429,
Lordalen,mot,3,nord for Lordalen mot Tverrfjellet,62.1169,8.5187,62.126015,8.513988,
Lordalen,at-landmark,3,Lordalen,62.09,8.5107,62.076962, 8.469562,
Kollongen,at-landmark,3,Kollongen,62.1866,8.846,unsure,unsure,
Nørdre,at-landmark,2,mot Nørdre mot Nørdre,62.1046,8.4892,alright,alright,
Fellingvatnet,at-landmark,1,i området Fellingvatnet,62.0072,8.357,62.010561868906024, 8.350352724787921,
Kringla,offset,1,for Kringla,62.1029,8.368,unsure,unsure,
Storberka,at-landmark,1,Storberka,62.0731,8.5087,61.78335555268102, 8.25765718318503,
Fellingskroken,at-landmark,1,Fellingskroken,62.0329,8.4004,alright,alright,
Skarvedalen,at-landmark,1,Skarvedalen,62.053,8.1243,unsure,unsure,
Kjølen,at-landmark,1,Kjølen,62.0411,8.6807,62.04755743850057, 8.681262308378503,
Kollongen,offset,1,frå Kollongen,62.1866,8.9036,unsure,unsure,
Sovarhaugen,offset,1,i området Sovarhaugen,62.1427,8.188,unsure,unsure,
søre-kjølhaugen,at-landmark,0,kjølhaugen,62.04926797922877, 8.838039387206063,
Trihø,offset,1,nord for Trihø,62.0438,8.4741,62.039873734867676, 8.469279266820276,
Gråhø,offset,1,nord for Gråhø,62.1029,8.0701,62.11051534828589, 8.080780081626852,
Nordre,at-landmark,1,i området Nordre,62.119,8.5685,means "nord",means "nord",
Skardtind,offset,1,nord for Skardtind,62.0348,8.591,62.00858830025459, 8.593683339072907,
Billingen,mot,1,frå Billingen mot Råkåvatnet,62.0671,8.6982,61.988405596922036, 8.025692996958941,
Trihø,at-landmark,1,i området Trihø,62.0168,8.4746,62.01811815091828, 8.479913987241764,
